,ProductID,Weight,FatContent,ProductVisibility,ProductType,MRP,OutletID,EstablishmentYear,OutletSize,LocationType,OutletType,OutletSales
0,1103,20.75,0,0.007564836,13,107.8622,9,1999,1,0,1,963.0881
1,1067,8.3,1,0.038427677,4,87.3198,2,2007,2,1,1,1140.7249
2,1406,14.6,0,0.099574908,11,241.7538,0,1998,2,2,0,452.7596
3,809,7.315,0,0.015388393,13,155.034,2,2007,2,1,1,2995.1611
4,1184,12.695633368756374,1,0.118599314,4,234.23,5,1985,1,2,3,6750.3384
5,461,9.8,1,0.063817206,6,117.1492,8,1997,2,0,1,1863.1235
6,604,19.35,1,0.082601537,0,50.1034,3,2009,1,2,2,434.41306
7,266,12.695633368756374,0,0.015782495,0,81.0592,5,1985,1,2,3,1998.4235
8,668,6.305,1,0.123365446,13,95.7436,7,2002,2,1,1,1156.5574
9,170,5.985,0,0.005698435,0,186.8924,2,2007,2,1,1,1615.5541
10,943,16.6,0,0.103569075,6,118.3466,2,2007,2,1,1,1733.2148
11,807,6.59,0,0.10581147,6,85.3908,7,2002,2,1,1,1475.6526
12,1279,12.695633368756374,0,0.171079215,8,240.4196,4,1985,2,0,0,846.79706
13,966,4.785,0,0.092737611,1,122.3098,9,1999,1,0,1,2133.0618
14,119,16.75,0,0.021206464,7,52.0298,1,1987,0,2,1,571.42444
15,626,6.135,1,0.0794507,0,151.6366,9,1999,1,0,1,2802.5566
16,500,19.85,0,0.05413521,12,198.7768,7,2002,2,1,1,4896.655
17,9,17.85,0,0.037980963,14,192.2188,3,2009,1,2,2,2704.8235
18,1386,12.695633368756374,0,0.028184344,9,109.6912,5,1985,1,2,3,3459.2915
19,178,13.6,0,0.196897637,13,193.7136,0,1998,2,2,0,562.9302
20,165,7.1,0,0.109920138,6,175.008,1,1987,0,2,1,2859.9187
21,1346,19.2,0,0.182619235,11,239.9196,6,2004,2,1,1,2976.4849
22,420,13.65,0,0.065630844,5,47.7402,8,1997,2,0,1,806.17554
